Ticker,Date,mktWatch-marketCap,mktWatch-float,mktWatch-Beta,mktWatch-P/Eratio,mktWatch-EPS,mktWatch-yield,mktWatch-dividend,mktWatch-short%
BAER,2023-09-17,378300000.0,2720000.0,-0.17 ,N/A ,-0.64 ,N/A ,N/A ,1.18  
NTGR,2023-09-17,378090000.0,27540000.0,0.90 ,N/A ,-0.74 ,N/A ,N/A ,4.08  
QURE,2023-09-17,377820000.0,44360000.0,1.15 ,N/A ,-3.94 ,N/A ,N/A ,5.33  
AVK,2023-09-17,N/A 
REI,2023-09-17,377040000.0,127600000.0,N/A ,2.16 ,0.89 ,N/A ,N/A ,12.57  
TSP,2023-09-17,378020000.0,140960000.0,2.58 ,N/A ,-2.1042 ,N/A ,N/A ,7.26  
VEL,2023-09-17,375800000.0,19530000.0,1.61 ,9.63 ,1.19 ,N/A ,N/A ,1.16  
SMHI,2023-09-17,375070000.0,22460000.0,1.19 ,N/A ,-1.94 ,N/A ,N/A ,1.74  
MXCT,2023-09-17,354100000.0,91230000.0,1.49 ,N/A ,-0.3181 ,N/A ,N/A ,2.15  
SHBI,2023-09-17,374290000.0,30140000.0,1.04 ,7.87 ,1.44 ,4.25  ,0.12 ,0.64  
ICVX,2023-09-17,372850000.0,32390000.0,1.32 ,N/A ,-2.33 ,N/A ,N/A ,3.32  
CHW,2023-09-17,N/A 
WULF,2023-09-17,371500000.0,119610000.0,0.92 ,N/A ,-0.7518 ,N/A ,N/A ,16.56  
GRPN,2023-09-17,369360000.0,15960000.0,1.60 ,N/A ,-5.03 ,N/A ,N/A ,34.12  
CGNT,2023-09-17,361420000.0,63680000.0,1.21 ,N/A ,-1.06 ,N/A ,N/A ,0.84  
ACP,2023-09-17,N/A 
SFIX,2023-09-17,367470000.0,79670000.0,1.43 ,N/A ,-2.1481 ,N/A ,N/A ,11.92  
MCRB,2023-09-17,366670000.0,96470000.0,1.17 ,N/A ,-1.2461 ,N/A ,N/A ,20.97  
EYPT,2023-09-17,366630000.0,27670000.0,1.31 ,N/A ,-2.83 ,N/A ,N/A ,20.47  
ACTG,2023-09-17,365580000.0,97540000.0,0.67 ,N/A ,-0.9099 ,N/A ,N/A ,1.24  
LX,2023-09-17,400630000.0,138700000.0,1.08 ,2.28 ,0.9815 ,4.55  ,0.1160 ,0.61  
FRGE,2023-09-17,364260000.0,94110000.0,1.00 ,N/A ,-0.5380 ,N/A ,N/A ,3.58  
AVTE,2023-09-17,363590000.0,17240000.0,1.40 ,N/A ,-2.59 ,N/A ,N/A ,7.84  
AVD,2023-09-17,363580000.0,27400000.0,1.02 ,32.02 ,0.39 ,0.97  ,0.03 ,1.43  
FSD,2023-09-17,N/A 
PSTL,2023-09-17,351580000.0,19320000.0,0.36 ,108.23 ,0.13 ,6.69  ,0.24 ,5.79  
HIO,2023-09-17,N/A 
INVZ,2023-09-17,362160000.0,155910000.0,1.44 ,N/A ,-0.9450 ,N/A ,N/A ,7.57  
SIFY,2023-09-17,362010000.0,N/A ,1.07 ,N/A ,N/A ,0.00  ,0.0174 ,N/A 
SRRK,2023-09-17,359890000.0,43050000.0,0.91 ,N/A ,-2.27 ,N/A ,N/A ,12.43  
EMLD,2023-09-17,359940000.0,24820000.0,0.00 ,N/A ,N/A ,N/A ,N/A ,0.02  
LSEA,2023-09-17,366230000.0,14820000.0,0.46 ,7.23 ,1.31 ,N/A ,N/A ,2.97  
BLUE,2023-09-17,358290000.0,104070000.0,1.36 ,N/A ,-1.0252 ,N/A ,N/A ,25.03  
TMC,2023-09-17,339790000.0,95700000.0,0.99 ,N/A ,-0.5772 ,N/A ,N/A ,9.71  
EFR,2023-09-17,N/A 
SB,2023-09-17,351530000.0,63210000.0,1.18 ,3.32 ,0.9478 ,6.35  ,0.0500 ,3.14  
